1,FK,KD_JENIS_TRANSAKSI,FG_PENGGANTI,NOMOR_FAKTUR,MASA_PAJAK,TAHUN_PAJAK,TANGGAL_FAKTUR,NPWP,NAMA,ALAMAT_LENGKAP,JUMLAH_DPP,JUMLAH_PPN,JUMLAH_PPNBM,ID_KETERANGAN_TAMBAHAN,FG_UANG_MUKA,UANG_MUKA_DPP,UANG_MUKA_PPN,UANG_MUKA_PPNBM,REFERENSI
2,LT,NPWP,NAMA,JALAN,BLOK,NOMOR,RT,RW,KECAMATAN,KELURAHAN,KABUPATEN,PROPINSI,KODE_POS,NOMOR_TELEPON,,,,,
3,OF,KODE_OBJEK,NAMA,HARGA_SATUAN,JUMLAH_BARANG,HARGA_TOTAL,DISKON,DPP,PPN,TARIF_PPNBM,PPNBM,,,,,,,,
440409015240504205,FK,01,0,,05,2024,23/05/2024,1234567896543212,PT AAA,Jl. Cempaka Putih Raya,505898,55646,0,,0,0,0,0,40409015240504205
440409015240504205404092405020709891,OF,8996129809131,CLEO 24X220,31171,1,31171,9360,21811,2399,0,0,,,,,,,,
440409015240504205404092405020709893,OF,8992753102303,BDR SKM CHO 6X42GR,9009,1,9009,901,8108,892,0,0,,,,,,,,
440409015240504205404092405020709895,OF,8992753031900,BDR SKM PTH6Sx45GR,9009,1,9009,901,8108,892,0,0,,,,,,,,
440409015240504205404092405020709897,OF,8996001600382,TEH PCUK HRM1300,12162,1,12162,2514,9649,1061,0,0,,,,,,,,
440409015240504205404092405020709899,OF,8998009010613,ULTRA MILK PLAIN T,17928,1,17928,3941,13986,1538,0,0,,,,,,,,
440409015240504205404092405020709901,OF,8998009010620,ULTRAMILK CHOCO TP,17928,1,17928,3941,13986,1538,0,0,,,,,,,,
440409015240504205404092405020709903,OF,8992946521188,FORVITA MARGARINE,13153,1,13153,1315,11838,1302,0,0,,,,,,,,
440409015240504205404092405020709905,OF,8998866202114,SEDAAPMIE GRG5X90,13964,1,13964,1396,12568,1382,0,0,,,,,,,,
440409015240504205404092405020709907,OF,711844330115,*D ABC SRDN SAMBAL,26036,1,26036,2604,23432,2578,0,0,,,,,,,,
440409015240504205404092405020709909,OF,8886467100048,PRINGLES BB107/102,26757,1,26757,2676,24081,2649,0,0,,,,,,,,
440409015240504205404092405020709911,OF,8993014730716,MADURASA MURNI280,40541,1,40541,4054,36486,4013,0,0,,,,,,,,
440409015240504205404092405020709913,OF,8993200666867,CIMORY UHT CSH250,7117,1,7117,712,6405,705,0,0,,,,,,,,
440409015240504205404092405020709915,OF,8992933463118,PUDDING SUSU MANGG,11171,1,11171,1117,10054,1106,0,0,,,,,,,,
440409015240504205404092405020709917,OF,8992984910142,BELIBIS CB 235ML,16216,1,16216,1622,14595,1605,0,0,,,,,,,,
440409015240504205404092405020709919,OF,8998866203494,JAPOTA PTT BWG68,9459,1,9459,946,8514,937,0,0,,,,,,,,
440409015240504205404092405020709921,OF,2202480000000,DP UBI BAKAR CILEM,30360,1,17062,1706,15356,1689,0,0,,,,,,,,
440409015240504205404092405020709923,OF,8992804900841,PRONAS CB CHEESE50,7928,2,15856,1586,14270,1570,0,0,,,,,,,,
440409015240504205404092405020709925,OF,8998866200509,SEDAAP MIE A SPC,2703,5,13514,631,11441,1259,0,0,,,,,,,,
440409015240504205404092405020709927,OF,089686043204,IDM GORENG ACEH90,2793,5,13964,1396,12568,1382,0,0,,,,,,,,
440409015240504205404092405020709929,OF,8995077602405,DK KCG TICTAC AB90,6577,1,6577,658,5919,651,0,0,,,,,,,,
440409015240504205404092405020709933,OF,8993492101121,GOLDN FARM CRNCKLE,28847,1,28847,2885,25962,2856,0,0,,,,,,,,
440409015240504205404092405020709937,OF,8991038775133,+SLCTN SPECTPS175S,15315,1,15315,1694,13622,1498,0,0,,,,,,,,
440409015240504205404092405020709939,OF,8998866808118,SOKLIN LIQ VIO1.6,40450,1,40450,4045,36405,4005,0,0,,,,,,,,
440409015240504205404092405020709941,OF,8998866802321,WPC PK 600,20270,1,20270,2027,18243,2007,0,0,,,,,,,,
440409015240504205404092405020709943,OF,4987176078162,DOWNY PF FC LV550,24883,1,24883,2488,22395,2463,0,0,,,,,,,,
440409015240504205404092405020709945,OF,8992727001342,BIORE PMILD P250,19820,1,19820,1982,17838,1962,0,0,,,,,,,,
440409015240504205404092405020709947,OF,8992727002578,BIORE RELAX P250,19820,1,19820,1982,17838,1962,0,0,,,,,,,,
440409015240504205404092405020709949,OF,8993053131154,#PASEO MINI TRV PC,5631,1,5631,563,5068,557,0,0,,,,,,,,
440409015240504205404092405020709951,OF,8850007331469,CAREFREEBREATHABL,24595,1,24595,2459,22135,2435,0,0,,,,,,,,
440409015240504205404092405020709953,OF,8997019580475,GREENSOFT FC200SX2,15225,1,15225,1523,13703,1507,0,0,,,,,,,,
440409015240504205404092405020709955,OF,8993189322532,CHARM EXT C MX W16,20631,1,20631,2063,18568,2042,0,0,,,,,,,,
440409015240504205404092405020709957,OF,8992727004060,+LAURIER ADSPRSLIM,12162,1,12162,1216,10946,1204,0,0,,,,,,,,
